,date,open,high,low,close,volume
0,2021-07-29,286.235,288.618,286.08,286.5,17782235
1,2021-07-28,288.99,290.15,283.8303,286.22,33566853
2,2021-07-27,289.43,289.575,282.95,286.54,33604073
3,2021-07-26,289.0,289.69,286.642,289.05,23176073
4,2021-07-23,287.37,289.99,286.5,289.67,22768071
5,2021-07-22,283.84,286.42,283.42,286.14,23384059
6,2021-07-21,278.905,281.52,277.29,281.4,24364320
7,2021-07-20,278.03,280.97,276.26,279.32,26259741
8,2021-07-19,278.9335,280.37,274.45,277.01,32935634
9,2021-07-16,282.07,284.1,279.46,280.75,26186848
10,2021-07-15,282.0,282.51,279.83,281.03,22604227
11,2021-07-14,282.345,283.66,280.55,282.51,23113662
12,2021-07-13,277.52,282.8477,277.39,280.98,26120128
13,2021-07-12,279.157,279.77,276.58,277.32,18931695
14,2021-07-09,275.72,278.05,275.32,277.94,23916665
15,2021-07-08,276.9,278.73,274.87,277.42,24618591
16,2021-07-07,279.4,280.6945,277.15,279.93,23260031
17,2021-07-06,278.03,279.3698,274.3,277.66,31565560
18,2021-07-02,272.82,278.0,272.5,277.65,26474408
19,2021-07-01,269.61,271.84,269.6,271.6,16725323
20,2021-06-30,270.69,271.3598,269.6043,270.9,21656457
21,2021-06-29,268.865,271.65,267.98,271.4,19937811
22,2021-06-28,266.185,268.9,265.91,268.72,19590024
23,2021-06-25,266.23,267.25,264.76,265.02,25611113
24,2021-06-24,266.16,267.85,265.47,266.69,21446867
25,2021-06-23,265.99,266.83,264.43,265.275,19518681
26,2021-06-22,262.72,265.79,262.4,265.51,24694090
27,2021-06-21,259.82,263.52,257.92,262.63,26696119
28,2021-06-18,259.63,262.3,258.75,259.43,37202217
29,2021-06-17,256.065,261.75,256.01,260.9,27565537
30,2021-06-16,259.4,260.58,254.42,257.38,27036535
31,2021-06-15,259.775,259.99,257.68,258.36,18038931
32,2021-06-14,257.9,259.95,256.8,259.89,19150507
33,2021-06-11,257.985,258.4868,256.61,257.89,18999731
34,2021-06-10,254.29,257.46,253.67,257.24,24563619
35,2021-06-09,253.81,255.53,253.21,253.59,17937634
36,2021-06-08,255.16,256.01,252.51,252.57,22454998
37,2021-06-07,249.98,254.09,249.81,253.81,23079167
38,2021-06-04,247.76,251.65,247.51,250.79,25281094
39,2021-06-03,245.22,246.34,243.0,245.71,25307711
40,2021-06-02,248.125,249.27,245.84,247.3,19406705
41,2021-06-01,251.23,251.29,246.96,247.4,23213310
42,2021-05-28,250.995,252.08,249.56,249.68,18274942
43,2021-05-27,251.17,251.48,249.25,249.31,24426244
44,2021-05-26,251.43,252.94,250.75,251.49,17771600
45,2021-05-25,251.769,252.75,250.82,251.72,17704303
46,2021-05-24,247.785,251.16,247.51,250.78,21411547
47,2021-05-21,247.565,248.33,244.74,245.17,21863058
48,2021-05-20,243.96,247.95,243.86,246.48,21800716
49,2021-05-19,239.31,243.23,238.6,243.12,25739807
50,2021-05-18,246.27,246.41,242.9,242.521378858,20167975
51,2021-05-17,246.55,246.59,243.52,244.616552856,24970168
52,2021-05-14,245.575,249.18,245.49,247.579727511,23901081
53,2021-05-13,241.8,245.6,241.42,242.471493762,29624298
54,2021-05-12,242.165,244.38,238.07,238.450755089,36684370
55,2021-05-11,244.55,246.6,242.57,245.664139856,33641589
56,2021-05-10,250.87,251.73,247.12,246.611956664,29299890
57,2021-05-07,252.15,254.3,251.17,251.879822718,27032912
58,2021-05-06,246.45,249.86,244.69,249.15609652,26491085
59,2021-05-05,249.06,249.5,245.82,245.903588313,21901325
60,2021-05-04,250.97,251.21,245.76,247.220554826,32756052
61,2021-05-03,253.4,254.35,251.12,251.281201576,19626568
62,2021-04-30,249.74,253.08,249.6,251.600466185,30945098
63,2021-04-29,255.46,256.1,249.0,251.929707814,40589023
64,2021-04-28,256.078,256.5399,252.95,253.974996717,46903119
65,2021-04-27,261.585,263.19,260.12,261.367967827,31014213
66,2021-04-26,261.66,262.435,260.17,260.948933027,19763346
67,2021-04-23,257.88,261.51,257.27,260.549852265,21499286
68,2021-04-22,260.21,261.78,255.64,256.578998687,25606152
69,2021-04-21,258.94,260.68,257.25,259.98116218,24030383
70,2021-04-20,257.82,260.2,256.84,257.666493762,19722875
71,2021-04-19,260.19,261.48,257.821,258.145390676,23209260
72,2021-04-16,259.47,261.0,257.6014,260.140794485,24878582
73,2021-04-15,257.931,259.93,257.73,258.903644123,25627481
74,2021-04-14,257.475,258.83,255.16,255.002629678,23070938
75,2021-04-13,257.2573,259.19,256.83,257.8959652,23837469
76,2021-04-12,254.71,257.67,254.62,255.321894288,27148668
77,2021-04-09,252.87,255.99,252.44,255.262032173,24326833
78,2021-04-08,252.77,254.139,252.0,252.668007223,23625197
79,2021-04-07,247.81,250.93,247.19,249.325705844,22719835
80,2021-04-06,247.61,249.4,246.88,247.290393959,22931923
81,2021-04-05,242.76,249.96,242.7,248.497613263,36910609
82,2021-04-01,238.47,242.84,238.0501,241.793056467,30337982
83,2021-03-31,232.91,239.1,232.39,235.228177938,43623471
84,2021-03-30,233.525,233.85,231.1,231.317186474,24792012
85,2021-03-29,236.59,236.8,231.88,234.699395929,25227455
86,2021-03-26,231.55,236.71,231.55,235.93654629,25479853
87,2021-03-25,235.3,236.94,231.57,231.806060407,34061853
88,2021-03-24,237.845,238.0,235.32,234.918890348,25620127
89,2021-03-23,237.485,241.05,237.07,237.034018385,31638376
90,2021-03-22,230.27,236.9,230.14,235.447672357,30127005
91,2021-03-19,231.02,232.474,229.3496,229.820633618,46430730
92,2021-03-18,232.56,234.19,230.33,230.189783322,34852251
93,2021-03-17,236.15,238.55,233.23,236.495259357,29562100
94,2021-03-16,236.28,240.055,235.94,237.163719632,28092196
95,2021-03-15,234.96,235.185,231.81,234.27038411,26042669
96,2021-03-12,234.01,235.82,233.23,235.2082239,22653662
97,2021-03-11,234.96,239.17,234.31,236.585052528,29907586
98,2021-03-10,237.0,237.0,232.04,231.885876559,29746812
99,2021-03-09,232.88,235.3839,231.67,233.242751149,33080531
