,date,open,high,low,close,volume
0,2021-07-30,40018.49,40137.06,39742.59,40020.93,1367.56283100
1,2021-07-29,40019.57,40640.0,39200.0,40016.48,53998.43928300
2,2021-07-28,39456.61,40900.0,38772.0,40019.56,101344.52844100
3,2021-07-27,37241.33,39542.61,36383.0,39457.87,88397.26701500
4,2021-07-26,35381.02,40550.0,35205.78,37237.6,152452.51272400
5,2021-07-25,34261.51,35398.0,33851.12,35381.02,47852.92831300
6,2021-07-24,33634.1,34500.0,33401.14,34258.14,47977.55013800
7,2021-07-23,32287.58,33650.0,31924.32,33634.09,50112.86362600
8,2021-07-22,32144.51,32591.35,31708.0,32287.83,46148.09243300
9,2021-07-21,29790.34,32858.0,29482.61,32144.51,82796.26512800
10,2021-07-20,30839.65,31063.07,29278.0,29790.35,61034.04901700
11,2021-07-19,31778.57,31899.0,30407.44,30839.65,47340.46849900
12,2021-07-18,31520.07,32435.0,31108.97,31778.56,35923.71618600
13,2021-07-17,31383.86,31955.92,31164.31,31520.07,34012.24213200
14,2021-07-16,31874.49,32249.18,31020.0,31383.87,48499.86415400
15,2021-07-15,32820.03,33185.25,31133.0,31880.0,51639.57635300
16,2021-07-14,32729.12,33114.03,31550.0,32820.02,46777.82348400
17,2021-07-13,33086.94,33340.0,32202.25,32729.77,41126.36100800
18,2021-07-12,34259.0,34678.43,32658.34,33086.63,48181.40376200
19,2021-07-11,33502.87,34666.0,33306.47,34258.99,31572.64744800
20,2021-07-10,33815.81,34262.0,33004.78,33502.87,34761.17546800
21,2021-07-09,32875.71,34100.0,32261.07,33815.81,47153.93989900
22,2021-07-08,33862.11,33929.64,32077.0,32875.71,70136.48032000
23,2021-07-07,34220.02,35059.09,33777.77,33862.12,53807.52167500
24,2021-07-06,33690.15,35118.88,33532.0,34220.01,58210.59634900
25,2021-07-05,35288.13,35293.78,33125.55,33690.14,64123.87424500
26,2021-07-04,34669.12,35967.85,34357.15,35286.51,43703.47578900
27,2021-07-03,33786.54,34945.61,33316.73,34669.13,43044.57864100
28,2021-07-02,33502.33,33977.04,32699.0,33786.55,56172.18137800
29,2021-07-01,35045.0,35057.57,32711.0,33504.69,71708.26611200
30,2021-06-30,35911.72,36100.0,34017.55,35045.0,77152.19763400
31,2021-06-29,34494.89,36600.0,34225.43,35911.73,90788.79622000
32,2021-06-28,34702.49,35297.71,33862.72,34494.89,82222.26781900
33,2021-06-27,32283.65,34749.0,31973.45,34700.34,96613.24421100
34,2021-06-26,31576.09,32730.0,30151.0,32283.65,107820.37528700
35,2021-06-25,34663.08,35500.0,31275.0,31584.45,116061.13035600
36,2021-06-24,33675.07,35298.0,32286.57,34663.09,86625.80426000
37,2021-06-23,32509.56,34881.0,31683.0,33678.07,126966.10056300
38,2021-06-22,31614.12,33298.78,28805.0,32509.56,204208.17976200
39,2021-06-21,35600.17,35750.0,31251.23,31608.93,168778.87315900
40,2021-06-20,35483.72,36137.72,33336.0,35600.16,89878.17085000
41,2021-06-19,35820.48,36457.0,34803.52,35483.72,68712.44946100
42,2021-06-18,38092.97,38202.84,35129.29,35819.84,95228.04293500
43,2021-06-17,38349.0,39559.88,37365.0,38092.97,79541.30711900
44,2021-06-16,40143.8,40527.14,38116.01,38349.01,87771.97693700
45,2021-06-15,40516.28,41330.0,39506.4,40144.04,80679.62283800
46,2021-06-14,39020.56,41064.05,38730.0,40516.29,108522.39194900
47,2021-06-13,35546.12,39380.0,34757.0,39020.57,86921.02555500
48,2021-06-12,37331.98,37463.63,34600.36,35546.11,87717.54999000
49,2021-06-11,36677.83,37680.4,35936.77,37331.98,78466.00530000
50,2021-06-10,37388.05,38491.0,35782.0,36675.72,109527.28494300
51,2021-06-09,33380.8,37534.79,32396.82,37388.05,136607.59751700
52,2021-06-08,33556.96,34068.01,31000.0,33380.81,123251.18903700
53,2021-06-07,35796.31,36900.0,33300.0,33552.79,77574.95257300
54,2021-06-06,35516.07,36480.0,35222.0,35796.31,47650.20663700
55,2021-06-05,36829.15,37925.0,34800.0,35513.2,70459.62149000
56,2021-06-04,39246.78,39289.07,35555.15,36829.0,91317.79924500
57,2021-06-03,37568.68,39476.0,37170.0,39246.79,75889.10601100
58,2021-06-02,36694.85,38225.0,35920.0,37568.68,67587.37249500
59,2021-06-01,37253.82,37894.81,35666.0,36693.09,81234.66377000
60,2021-05-31,35641.26,37499.0,34153.84,37253.81,94160.73528900
61,2021-05-30,34605.15,36488.0,33379.0,35641.27,73535.38696700
62,2021-05-29,35661.79,37338.58,33632.76,34605.15,112663.09268900
63,2021-05-28,38529.99,38877.83,34684.0,35663.49,135377.62972000
64,2021-05-27,39241.92,40411.14,37134.27,38529.98,86547.15879400
65,2021-05-26,38324.72,40841.0,37800.44,39241.91,104780.77339600
66,2021-05-25,38810.99,39791.77,36419.62,38324.72,111996.22840400
67,2021-05-24,34681.44,39920.0,34031.0,38796.29,161630.89397100
68,2021-05-23,37458.51,38270.64,31111.01,34655.25,217136.04659300
69,2021-05-22,37263.35,38829.0,35200.62,37449.73,126542.24368900
70,2021-05-21,40525.39,42200.0,33488.0,37252.01,202100.88825800
71,2021-05-20,36671.23,42451.67,34850.0,40526.64,203017.59692300
72,2021-05-19,42849.78,43584.9,30000.0,36690.09,354347.24316100
73,2021-05-18,43538.02,45799.29,42250.02,42849.78,116979.86078400
74,2021-05-17,46426.83,46686.0,42001.0,43538.04,166657.17273600
75,2021-05-16,46762.99,49795.89,43825.39,46431.5,114269.81277500
76,2021-05-15,49844.16,50700.0,46555.0,46762.99,89437.44935900
77,2021-05-14,49671.92,51483.0,48799.75,49841.45,80082.20430600
78,2021-05-13,49537.15,51367.19,46000.0,49670.97,147332.00212100
79,2021-05-12,56670.02,58000.01,48600.0,49631.32,99842.78983600
80,2021-05-11,55816.14,56862.43,54370.0,56670.02,64329.54055000
81,2021-05-10,58240.83,59500.0,53400.0,55816.14,89586.34925000
