,date,open,high,low,close,volume
0,2021-07-29,2300.9,2307.77,2284.29,2288.03,12935.64787000
1,2021-07-28,2299.47,2345.0,2243.15,2300.9,718202.57727000
2,2021-07-27,2227.81,2319.26,2150.5,2299.49,906359.23478000
3,2021-07-26,2189.82,2433.65,2171.57,2228.08,1393738.16300000
4,2021-07-25,2184.9,2197.41,2105.93,2189.79,535630.27000000
5,2021-07-24,2124.26,2199.5,2105.58,2184.75,633075.18592000
6,2021-07-23,2024.27,2130.9,1993.22,2124.25,708160.91322000
7,2021-07-22,1995.5,2046.0,1947.62,2024.56,768854.36590000
8,2021-07-21,1786.03,2035.23,1747.55,1995.5,1115949.82033000
9,2021-07-20,1818.73,1841.34,1706.0,1786.03,786257.27200000
10,2021-07-19,1891.65,1919.0,1805.0,1818.73,547419.93771000
11,2021-07-18,1899.5,1993.79,1877.1,1891.64,534837.63654000
12,2021-07-17,1876.47,1919.19,1844.45,1899.59,430300.51578000
13,2021-07-16,1919.54,1965.0,1850.0,1876.26,577068.89724000
14,2021-07-15,1994.41,2042.88,1881.0,1919.51,645271.32563000
15,2021-07-14,1940.44,2019.18,1865.0,1994.58,690505.60937000
16,2021-07-13,2031.57,2047.35,1918.0,1940.15,647388.24969000
17,2021-07-12,2140.54,2167.83,2006.68,2031.58,540630.10742000
18,2021-07-11,2110.68,2174.0,2081.02,2140.45,342294.40302000
19,2021-07-10,2146.99,2194.82,2074.16,2110.69,499071.85904000
20,2021-07-09,2116.32,2189.4,2046.51,2146.99,738611.36304000
21,2021-07-08,2316.25,2325.6,2084.79,2116.33,880265.04124000
22,2021-07-07,2322.51,2409.0,2291.9,2316.57,666501.35572000
23,2021-07-06,2196.85,2350.0,2193.0,2322.5,785330.17152000
24,2021-07-05,2322.69,2324.64,2157.32,2196.53,781806.31605000
25,2021-07-04,2226.99,2389.93,2189.58,2322.69,590656.25069000
26,2021-07-03,2153.95,2240.0,2112.01,2226.99,569264.80100000
27,2021-07-02,2106.41,2160.0,2018.5,2154.13,672282.37476000
28,2021-07-01,2275.68,2275.93,2073.12,2106.41,787865.25137000
29,2021-06-30,2165.46,2287.78,2087.99,2275.68,910583.60320000
30,2021-06-29,2084.42,2245.0,2073.57,2165.33,831257.23277000
31,2021-06-28,1982.27,2145.0,1960.52,2084.41,1044244.68308000
32,2021-06-27,1829.84,1984.5,1804.26,1982.28,696055.79307000
33,2021-06-26,1808.97,1852.8,1717.32,1829.64,832315.14904000
34,2021-06-25,1989.53,2019.99,1791.22,1808.82,858808.54767000
35,2021-06-24,1967.95,2036.61,1884.79,1989.52,701231.67478000
36,2021-06-23,1879.29,2045.0,1821.95,1968.14,918612.30494000
37,2021-06-22,1885.27,1998.0,1700.48,1879.28,1695338.08052000
38,2021-06-21,2243.49,2260.16,1865.54,1885.49,1629819.66576000
39,2021-06-20,2165.34,2280.01,2040.68,2243.47,743883.64741000
40,2021-06-19,2234.09,2278.82,2161.67,2164.67,496872.24997000
41,2021-06-18,2373.28,2378.0,2139.0,2234.09,778905.20197000
42,2021-06-17,2368.02,2460.5,2306.0,2373.28,560667.58566000
43,2021-06-16,2543.55,2556.19,2351.18,2367.89,624741.78358000
44,2021-06-15,2580.58,2640.0,2507.7,2543.54,599826.64933000
45,2021-06-14,2509.33,2609.17,2461.0,2580.77,684183.55622000
46,2021-06-13,2370.64,2548.41,2308.41,2509.33,715948.75986000
47,2021-06-12,2354.09,2454.53,2256.22,2370.74,767439.49840000
48,2021-06-11,2471.01,2497.99,2321.37,2354.01,587364.27358000
49,2021-06-10,2610.2,2624.46,2425.11,2471.09,741237.49926000
50,2021-06-09,2507.43,2626.63,2405.28,2610.18,1276718.24011000
51,2021-06-08,2592.05,2620.99,2304.91,2507.23,1693747.42759000
52,2021-06-07,2711.92,2847.55,2570.0,2592.05,1152128.07856000
53,2021-06-06,2627.63,2745.0,2614.0,2711.92,673792.69369000
54,2021-06-05,2689.54,2816.87,2552.23,2627.73,961824.12413000
55,2021-06-04,2857.25,2860.0,2552.0,2689.51,1188314.11191000
56,2021-06-03,2706.21,2891.95,2662.4,2857.25,1024290.89423000
57,2021-06-02,2634.31,2802.99,2550.0,2706.22,970070.53563000
58,2021-06-01,2706.15,2740.0,2523.74,2634.57,1179577.10806000
59,2021-05-31,2385.82,2720.0,2271.44,2706.15,1307958.04068000
60,2021-05-30,2278.74,2476.42,2180.53,2385.98,1151113.19883000
61,2021-05-29,2412.34,2574.27,2204.1,2278.74,1379427.18851000
62,2021-05-28,2742.23,2762.45,2327.38,2412.1,1554584.61362000
63,2021-05-27,2884.82,2889.74,2633.68,2742.23,1099029.91206000
64,2021-05-26,2705.1,2910.0,2643.0,2884.94,1583799.59251000
65,2021-05-25,2647.92,2750.0,2378.54,2705.11,2115349.50445000
66,2021-05-24,2096.63,2675.0,2079.94,2648.43,2186632.92245000
67,2021-05-23,2295.45,2381.57,1728.74,2096.39,2914548.73125000
68,2021-05-22,2430.98,2485.0,2145.0,2294.87,1684318.01157000
69,2021-05-21,2767.87,2938.54,2101.0,2430.98,2727031.93514000
70,2021-05-20,2438.92,2990.05,2155.0,2768.62,2942777.93010000
71,2021-05-19,3375.08,3441.73,1888.0,2438.92,4309836.31939000
72,2021-05-18,3282.25,3565.71,3240.0,3375.07,1287110.84143000
73,2021-05-17,3581.81,3587.06,3102.0,3282.51,1904012.43998000
74,2021-05-16,3646.24,3879.0,3343.06,3582.1,1324065.65875000
75,2021-05-15,4075.02,4134.05,3632.0,3646.68,1039174.88082000
76,2021-05-14,3717.92,4173.28,3691.35,4075.01,1153390.42631000
77,2021-05-13,3810.15,4034.77,3500.0,3717.91,2068708.17427000
78,2021-05-12,4173.46,4372.72,3701.58,3823.21,1601842.74017000
79,2021-05-11,3946.63,4180.22,3771.64,4173.45,1095927.10403000
80,2021-05-10,3923.95,4208.0,3650.0,3945.88,1505897.92612000
81,2021-05-09,3910.26,3983.65,3726.08,3923.95,1000401.00820000
82,2021-05-08,3479.79,3958.33,3449.27,3910.26,1130467.54852000
83,2021-05-07,3489.74,3587.0,3353.23,3479.53,760544.64781000
84,2021-05-06,3524.33,3605.4,3376.47,3489.73,920592.57706000
85,2021-05-05,3239.01,3549.34,3200.23,3524.26,1174816.73588000
86,2021-05-04,3431.04,3527.0,3160.0,3239.01,1826039.38558000
87,2021-05-03,2949.33,3454.0,2949.32,3431.04,1329088.06280000
88,2021-05-02,2944.83,2985.0,2852.26,2949.56,571982.54450000
89,2021-05-01,2772.42,2954.28,2743.41,2944.77,690260.07741000
90,2021-04-30,2757.04,2798.3,2723.09,2772.42,695339.20482000
91,2021-04-29,2748.23,2798.0,2668.0,2757.04,863890.01069000
92,2021-04-28,2666.13,2760.0,2559.44,2748.24,999383.18520000
93,2021-04-27,2532.06,2680.0,2480.29,2666.13,771728.46451000
94,2021-04-26,2320.44,2542.8,2303.64,2532.6,1076469.01367000
95,2021-04-25,2214.08,2356.64,2168.0,2320.49,857517.38218000
96,2021-04-24,2367.39,2368.74,2154.8,2213.35,997688.94623000
97,2021-04-23,2397.94,2442.89,2107.0,2367.39,2532242.44185000
98,2021-04-22,2357.06,2644.47,2303.44,2397.94,2220753.09746000
99,2021-04-21,2330.26,2469.54,2235.16,2357.06,1177885.86170000
100,2021-04-20,2161.12,2346.62,2055.0,2330.03,992240.80900000
101,2021-04-19,2235.65,2300.0,2080.0,2161.12,820592.26555000
102,2021-04-18,2317.65,2340.0,1946.8,2235.64,1475383.69204000
103,2021-04-17,2422.38,2495.0,2310.0,2317.6,624232.25568000
104,2021-04-16,2514.04,2548.29,2300.0,2422.67,999163.75205000
105,2021-04-15,2432.59,2543.47,2400.0,2514.04,681950.96645000
106,2021-04-14,2299.19,2447.29,2281.33,2432.6,972931.60866000
107,2021-04-13,2137.86,2318.0,2135.53,2299.19,782608.62090000
108,2021-04-12,2151.42,2203.46,2102.0,2137.69,579093.35694000
109,2021-04-11,2133.49,2165.02,2113.4,2151.36,392265.50773000
110,2021-04-10,2067.19,2200.0,2058.0,2133.49,655458.20894000
111,2021-04-09,2080.39,2100.0,2047.57,2066.87,426387.43790000
112,2021-04-08,1963.46,2084.61,1947.35,2080.46,501355.99800000
113,2021-04-07,2112.22,2129.01,1930.01,1963.47,892984.90422000
114,2021-04-06,2107.43,2151.0,2044.65,2112.21,673386.05575000
115,2021-04-05,2075.7,2130.64,2002.15,2107.38,684923.61494000
116,2021-04-04,2008.59,2091.83,1975.24,2075.69,514345.76554000
117,2021-04-03,2133.69,2138.12,1996.3,2008.52,770176.32192000
118,2021-04-02,1968.05,2146.0,1948.48,2133.69,846197.93215000
119,2021-04-01,1919.37,1984.77,1885.02,1968.05,741585.07266000
120,2021-03-31,1840.41,1947.29,1768.15,1919.37,746995.85910000
121,2021-03-30,1816.76,1859.13,1786.3,1840.46,568842.00526000
122,2021-03-29,1687.16,1841.0,1677.85,1816.74,647724.46387000
123,2021-03-28,1712.52,1725.66,1661.4,1687.01,348895.51314000
124,2021-03-27,1698.84,1732.67,1666.41,1712.63,443845.49957000
125,2021-03-26,1585.83,1699.93,1585.79,1698.84,515470.92907000
126,2021-03-25,1581.88,1622.0,1549.4,1585.74,701697.00258000
127,2021-03-24,1668.2,1740.86,1536.92,1581.84,753834.52393000
128,2021-03-23,1681.17,1721.17,1650.0,1668.08,577213.99589000
